"covariateId","covariateName","analysisId","conceptId","covariateValue"
1905,"condition_era distinct concept count during day -365 through 0 concept_count relative to index",905,0,-4.1724448097798
2101897802,"observation during day -365 through 0 days relative to index: Current tobacco non-user (CAD, CAP, COPD, PV) (DM) (IBD)",802,2101897,-1.85473065814239
46271381210,"condition_era group during day -365 through 0 days relative to index: Digestive system reflux",210,46271381,1.49671690947283
21604817410,"drug_era group during day -365 through 0 days relative to index: Drugs used in nicotine dependence",410,21604817,1.35102664128183
2721600802,"observation during day -365 through 0 days relative to index: Sales tax",802,2721600,1.31277656700865
377861102,"condition_occurrence during day -365 through 0 days relative to index: Disorder of refraction AND/OR accommodation",102,377861,1.23476373040982
44816520302,"drug_exposure during day -365 through 0 days relative to index: Influenza virus vaccine, quadrivalent, split virus, preservative free, when administered to individuals 3 years of age and older, for intramuscular use",302,44816520,-1.17911376979761
1007,"index month: 1",7,0,-1.15378167153641
437264102,"condition_occurrence during day -365 through 0 days relative to index: Tobacco dependence syndrome",102,437264,1.08812066085464
4132855502,"procedure_occurrence during day -365 through 0 days relative to index: Immunization",502,4132855,-1.07660544967775
7007,"index month: 7",7,0,-1.04247890277063
4263508502,"procedure_occurrence during day -365 through 0 days relative to index: Ophthalmic examination and evaluation",502,4263508,1.03238269950262
8007,"index month: 8",7,0,-1.02139273700228
44816518302,"drug_exposure during day -365 through 0 days relative to index: Influenza virus vaccine, quadrivalent, split virus, when administered to individuals 3 years of age and older, for intramuscular use",302,44816518,-1.00625147306642
2514534502,"procedure_occurrence during day -365 through 0 days relative to index: Smoking and tobacco use cessation counseling visit; intermediate, greater than 3 minutes up to 10 minutes",502,2514534,0.970378489570039
6007,"index month: 6",7,0,-0.969057235668969
3007,"index month: 3",7,0,-0.925921611218288
2007,"index month: 2",7,0,-0.923742612971102
3019171702,"measurement during day -365 through 0 days relative to index: Body height Stated",702,3019171,-0.909282733004681
5007,"index month: 5",7,0,-0.908526763041265
3040168702,"measurement during day -365 through 0 days relative to index: Immature granulocytes [#/volume] in Blood",702,3040168,-0.902870272555932
23325102,"condition_occurrence during day -365 through 0 days relative to index: Heartburn",102,23325,-0.868804148093005
21601370410,"drug_era group during day -365 through 0 days relative to index: BACTERIAL AND VIRAL VACCINES, COMBINED",410,21601370,-0.829170360210411
1154192302,"drug_exposure during day -365 through 0 days relative to index: montelukast 10 MG Oral Tablet [Singulair]",302,1154192,0.820333257361569
43531944402,"drug_era during day -365 through 0 days relative to index: Influenza B virus vaccine, B-Massachusetts-2-2012-like virus",402,43531944,-0.80434732611857
4007,"index month: 4",7,0,-0.801736068726567
255573210,"condition_era group during day -365 through 0 days relative to index: Chronic obstructive lung disease",210,255573,0.796546246221868
1008,"observation time (days) prior to index",8,0,0.741445553939353
440069210,"condition_era group during day -365 through 0 days relative to index: Drug dependence",210,440069,0.72858285871402
3027343702,"measurement during day -365 through 0 days relative to index: Pathologist who read Cyto stain of Cervical or vaginal smear or scraping",702,3027343,0.711087418327274
1545997302,"drug_exposure during day -365 through 0 days relative to index: atorvastatin 10 MG Oral Tablet",302,1545997,0.709750851263186
19023368302,"drug_exposure during day -365 through 0 days relative to index: montelukast 10 MG Oral Tablet",302,19023368,0.70441175508674
1545996302,"drug_exposure during day -365 through 0 days relative to index: atorvastatin 40 MG Oral Tablet",302,1545996,0.680988796304005
378424210,"condition_era group during day -365 through 0 days relative to index: Astigmatism",210,378424,-0.677416082942099
19123593302,"drug_exposure during day -365 through 0 days relative to index: atorvastatin 40 MG Oral Tablet [Lipitor]",302,19123593,0.673352380992515
19123592302,"drug_exposure during day -365 through 0 days relative to index: atorvastatin 20 MG Oral Tablet",302,19123592,0.672388026011837
3050479702,"measurement during day -365 through 0 days relative to index: Immature granulocytes/100 leukocytes in Blood",702,3050479,0.67217038937263
1545958402,"drug_era during day -365 through 0 days relative to index: atorvastatin",402,1545958,-0.661546462530035
1322185302,"drug_exposure during day -365 through 0 days relative to index: clopidogrel 75 MG Oral Tablet [Plavix]",302,1322185,0.66118208531719
379805102,"condition_occurrence during day -365 through 0 days relative to index: Myopia",102,379805,0.646666207184077
9007,"index month: 9",7,0,-0.644505045997851
19068781302,"drug_exposure during day -365 through 0 days relative to index: atorvastatin 80 MG Oral Tablet [Lipitor]",302,19068781,0.639822438380179
3019762702,"measurement during day -365 through 0 days relative to index: Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.05 mIU/L",702,3019762,0.628990588637238
2314324502,"procedure_occurrence during day -365 through 0 days relative to index: Acupuncture, 1 or more needles; with electrical stimulation, each additional 15 minutes of personal one-on-one contact with the patient, with re-insertion of needle(s) (List separately in addition to code for primary procedure)",502,2314324,0.627660466695127
2314322502,"procedure_occurrence during day -365 through 0 days relative to index: Acupuncture, 1 or more needles; without electrical stimulation, each additional 15 minutes of personal one-on-one contact with the patient, with re-insertion of needle(s) (List separately in addition to code for primary procedure)",502,2314322,0.625789607083083
2213440302,"drug_exposure during day -365 through 0 days relative to index: Influenza virus vaccine, trivalent, split virus, when administered to individuals 3 years of age and older, for intramuscular use",302,2213440,-0.610796502538192
21600074410,"drug_era group during day -365 through 0 days relative to index: Antacids with antiflatulents",410,21600074,-0.610041697281241
40664566502,"procedure_occurrence during day -365 through 0 days relative to index: Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluvirin)",502,40664566,-0.60491793690033
2414361802,"observation during day -365 through 0 days relative to index: Special reports such as insurance forms, more than the information conveyed in the usual medical communications or standard reporting form",802,2414361,-0.596366871629906
529303302,"drug_exposure during day -365 through 0 days relative to index: diphtheria toxoid vaccine, inactivated",302,529303,0.596332597760761
